,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DONNEES D’EXPLOITATION  SOLAIRE DIASS  JANVIER 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,W.PORTAIL,,,,,,,,,,,RUBRIQUES,,UNITES,Valeurs,,,,,,,
,Heures,Meteo - Irradiance (W/m2),Puissances  Horaires (kW),ENERGIES Horaires (KWH),,Commentaires,,,,,,,,,,,,Nombre d'onduleur en fonctionnement,,,32,,,,,,,à
,7:00,"0,00","0,00","0,00",,NB1     Tracteur de nettoyage en panne et le depannage est en cours,,,,a,,,,,,,,Nombre d'onduleur Hors service,,,0,,,,,,,
,8:00,"12,18","19,49","64,00",,,,,,,,,,,,,,Nombre  de  Démarrage,,,1,,,,,,,
,9:00,"200,72","2530,31","2549,00",,,,,,,,,,,,,,Heure de lever du  soleil ,,H,7:30,,,,,,,
,10:00,"443,26","6694,05","6712,00",,,,,,,,,,,,,,Heure de coucher du  soleil ,,H,18:30,,,,,,,
,11:00,"685,41","10852,14","10871,00",,NB2  Enregistreur de donnèes defectueux sur PTR6,,,,,,,,,,,,Totale Heure de Fonctionnement,,H,11:00,,,,,,,
,12:00,"828,18","13457,65","13481,00",,,,,,agege ,,,,,,,,Absence réseau (heures perdues),,H,0:00,,,,,,,
,13:00,"850,60","14030,36","14037,00",,NB3 :  Intervention sur la Com de  l'Ond2 PTR8 ,,,,,,,,,,,,ENERGIE TOTALE PRODUITE  EN DEBUT DE PARCOURS  (kWh),,,131 883 825,,,,,,,
,14:00,"887,62","15361,67","15386,00",,,,,,,,,,,,,,ENERGIE TOTALE PRODUITE  EN  FIN  DE PARCOURS   (kWh),,,131 984 890,,,,,,,
,15:00,"734,64","13902,70","13922,00",,,,,,,,,,,,,,Total énergie active  Journaliere  Produite (Kwh),,,101 065,,,,,,,
,16:00,"568,59","11659,72","11680,00",,"NB4 : Perte de Com, sur PTR6 soit 04 ONDULEURS",,,,,,,,,,,,,,,,,,,,,,
,17:00,"369,88","8336,68","8364,00",,,,,,,,,,,,,,,,,,,,,,,,
,18:00,"162,40","3648,42","3669,00",,,,,,,,,,,,,,,,ببب3,,,,,,,,
,19:00,"21,73","287,86","330,00",,NB5 :  Suspension  nettoyage des panneaux solaires avec le tracteur ,,,,,,,,,,,,,,,,,,,,,,
,20:00,"0,00","0,00","0,00",,,,,,,,,,,,,,,,,,,,,,,,
,21:00,"0,00","0,00","0,00",,,,,,,,,,,,,,,,,,,,,,,,
,,CRETES  JOURNALIERES,,101 065,,,,,,,,,,,,,,,,,,,,,,,,
",",13:50,"881,53","15 622,35",,,,,,,,,,,,,,,,,,,,,,,,,
,4,POURCENTAGES  DE DISPONIBILITES  ET PERFORMANCES -RATIO  JOURNALIERES  PAR  PTR  ET  ONDULEUR,,,,,,PR (%) Pourcentage Ratio par Onduleurs , ,,,,,,,,,,,,,,,,,,,
,,, DESIGNATION Ensemble Onduleurs CPV-DIASS,,Pourcentage de Disponibilite (%) Moyenne par PTR,POURCENTAGES  DE DISPONIBILITES  ET PERFORMANCES -RATIO  JOURNALIERES  PAR  PTR  ET  ONDULEURS ,,PR (%) Pourcentage Ratio par Onduleurs ,,,,,,,,,,,,,,,,,,,,
,,,,,,,"100,00",PR/ONDULEURS,,,,,,,,,,,,,,,,,,,,
,,PTR 1,ONDULEUR PTR1.1,,"97,87","100,00",KD,"75,87",,,,,,,,,,,,,,,,,,,,
,,,ONDULEUR PTR1.2,,"97,87","100,00",,"75,86",,,,,,,,,,,,,,,,,,,,
,,,ONDULEUR PTR1.3,,"97,87","100,00",,"76,14",,,,,,,,,,,,,,,,,,,,
,,,ONDULEUR PTR1.4,,"98,94","100,00",,"72,66",,,,,,,,,,,,,,,,,,,,
,,,,,,,"100,00",,,,,,,,,,,,,,,,,,,,,
,,PTR 2,ONDULEUR PTR2.1,,"97,87","100,00",KD,"76,57",,,,,,,,,,,,,,,,,,,,
,,,ONDULEUR PTR2.2,,"97,87","100,00",,"77,31",,,,,,,,,,,,,,,,,,,,
,,,ONDULEUR PTR2.3,,"97,87","100,00",,"76,95",,,,,,,,,,,,,,,,,,,,
,,,ONDULEUR PTR2.4,,"98,94","100,00",,"77,54",,,,,,,,,,,,,,,,,,,,
,,,,,,,"100,00",,,,,,,,,,,,,,,,,,,,,
,,PTR 3,ONDULEUR PTR3.1,,"98,80","100,00",KD,"78,21",,,,,,,,,,,,,,,,,,,,
,,,ONDULEUR PTR3.2,,"91,57","100,00",,"79,34",,Mois,PR Totale des Compteurs (%,Ensoleillement,%PR de Reference mensuel,,,,,,,,,,,,,,,
,,,ONDULEUR PTR3.3,,"98,80","100,00",,"77,94",,janv.-24,(%)PR Compteurs ,Ensoleillement,%PR  mensuel,,,,,,,,,,,,,,,
,,,ONDULEUR PTR3.4,,"100,00","100,00",,"78,51",,1-janv.,"75,91","5,68","78,50",,,,,,,,,,,,,,,
,,,,,,,"100,00",,,2-janv.,"81,73","4,18","78,50",,,,,,,,,,,,,,,
,,PTR4,ONDULEUR PTR4.1,,"98,86","100,00",KD,"77,02",,3-janv.,"77,42","6,26","78,50",,,,,,,,,,,,,,,
,,,ONDULEUR PTR4.2,,"98,86","100,00",,"77,70",,4-janv.,"77,29","6,19","78,50",,,,,,,,,,,,,,,
,,,ONDULEUR PTR4.3,,"98,86","100,00",,"76,28",,5-janv.,"77,02","5,67","78,50",,,,,,,,,,,,,,,
,,,ONDULEUR PTR4.4,,"97,75","100,00",,"77,96",,6-janv.,"77,29","6,61","78,50",,,,,,,,,,,,,,,
,,,,,,,"100,00",,,7-janv.,"76,83","6,27","78,50",,,,,,,,,,,,,,,
,,PTR 5,ONDULEUR PTR5.1,,"98,86","100,00",KD,"78,25",,8-janv.,"77,29","5,41","78,50",,,,,,,,,,,,,,,
,,,ONDULEUR PTR5.2,,"98,86","100,00",,"78,95",,9-janv.,"75,68","6,46","78,50",,,,,,,,,,,,,,,
,,,ONDULEUR PTR5.3,,"98,86","100,00",,"78,49",,10-janv.,"77,29","5,76","78,50",,,,,,,,,,,,,,,
,,,ONDULEUR PTR5.4,,"98,86","100,00",,"78,72",,11-janv.,"80,04","6,39","78,50",,,,,,,,,,,,,,,
,,,,,,,"100,00",,,12-janv.,"77,29","4,71","78,50",,,,,,,,,,,,,,,
