,Id_ProductionJournaliere,Date,Heures,Meteo_Irradience,Energies_Horaires,PR_Total_Compteurs,Ensoleillement,PR_Reference,Nombre_Panneau,Nombre_Onduleur
0,2,2024-01-01,08:00:00,29.51,170,75.91125188,5.68,78.5,85608,32
1,3,2024-01-01,09:00:00,176.35,2279,75.91125188,5.68,78.5,85608,32
2,4,2024-01-01,10:00:00,519.68,7850,75.91125188,5.68,78.5,85608,32
3,5,2024-01-01,11:00:00,691.15,10938,75.91125188,5.68,78.5,85608,32
4,6,2024-01-01,12:00:00,821.85,13949,75.91125188,5.68,78.5,85608,32
5,7,2024-01-01,13:00:00,835.54,14675,75.91125188,5.68,78.5,85608,32
6,8,2024-01-01,14:00:00,868.31,15120,75.91125188,5.68,78.5,85608,32
7,9,2024-01-01,15:00:00,697.95,13100,75.91125188,5.68,78.5,85608,32
8,10,2024-01-01,16:00:00,527.52,10741,75.91125188,5.68,78.5,85608,32
9,11,2024-01-01,17:00:00,347.81,7522,75.91125188,5.68,78.5,85608,32
10,12,2024-01-01,18:00:00,151.95,3181,75.91125188,5.68,78.5,85608,32
11,13,2024-01-01,19:00:00,11.28,137,75.91125188,5.68,78.5,85608,32
12,17,2024-01-02,08:00:00,12.21,81,81.72618927,4.18,78.5,85608,32
13,18,2024-01-02,09:00:00,132.51,1785,81.72618927,4.18,78.5,85608,32
14,19,2024-01-02,10:00:00,249.16,4241,81.72618927,4.18,78.5,85608,32
15,20,2024-01-02,11:00:00,268.91,4621,81.72618927,4.18,78.5,85608,32
16,21,2024-01-02,12:00:00,340.93,6206,81.72618927,4.18,78.5,85608,32
17,22,2024-01-02,13:00:00,597.8,10982,81.72618927,4.18,78.5,85608,32
18,23,2024-01-02,14:00:00,845.68,15269,81.72618927,4.18,78.5,85608,32
19,24,2024-01-02,15:00:00,521.23,9795,81.72618927,4.18,78.5,85608,32
20,25,2024-01-02,16:00:00,586.83,12041,81.72618927,4.18,78.5,85608,32
21,26,2024-01-02,17:00:00,411.0,9014,81.72618927,4.18,78.5,85608,32
22,27,2024-01-02,18:00:00,192.26,4610,81.72618927,4.18,78.5,85608,32
23,28,2024-01-02,19:00:00,14.91,316,81.72618927,4.18,78.5,85608,32
24,32,2024-01-03,08:00:00,13.65,28,77.4152893,6.26,78.5,85608,32
25,33,2024-01-03,09:00:00,292.98,3656,77.4152893,6.26,78.5,85608,32
26,34,2024-01-03,10:00:00,599.3,9145,77.4152893,6.26,78.5,85608,32
27,35,2024-01-03,11:00:00,795.95,12772,77.4152893,6.26,78.5,85608,32
28,36,2024-01-03,12:00:00,851.57,14536,77.4152893,6.26,78.5,85608,32
29,37,2024-01-03,13:00:00,901.72,16355,77.4152893,6.26,78.5,85608,32
30,38,2024-01-03,14:00:00,887.81,16005,77.4152893,6.26,78.5,85608,32
31,39,2024-01-03,15:00:00,781.0,14685,77.4152893,6.26,78.5,85608,32
32,40,2024-01-03,16:00:00,581.91,12247,77.4152893,6.26,78.5,85608,32
33,41,2024-01-03,17:00:00,383.82,8758,77.4152893,6.26,78.5,85608,32
34,42,2024-01-03,18:00:00,156.68,3649,77.4152893,6.26,78.5,85608,32
35,43,2024-01-03,19:00:00,11.9,179,77.4152893,6.26,78.5,85608,32
36,47,2024-01-04,08:00:00,28.18,115,77.28568227,6.19,78.5,85608,32
37,48,2024-01-04,09:00:00,270.21,3343,77.28568227,6.19,78.5,85608,32
38,49,2024-01-04,10:00:00,550.53,8422,77.28568227,6.19,78.5,85608,32
39,50,2024-01-04,11:00:00,766.43,12570,77.28568227,6.19,78.5,85608,32
40,51,2024-01-04,12:00:00,879.37,15097,77.28568227,6.19,78.5,85608,32
41,52,2024-01-04,13:00:00,896.52,16239,77.28568227,6.19,78.5,85608,32
42,53,2024-01-04,14:00:00,892.23,16189,77.28568227,6.19,78.5,85608,32
43,54,2024-01-04,15:00:00,789.23,14802,77.28568227,6.19,78.5,85608,32
44,55,2024-01-04,16:00:00,592.48,12289,77.28568227,6.19,78.5,85608,32
